m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,bed_pos,it_pos,sr_pos,ir_pos,b_name
227,4579,225587.0,5,5,3,3,2,1,1,1,BenchmarkParseProtoGzip
228,4797,226596.0,5,5,3,3,3,1,1,1,BenchmarkParseProtoGzip
229,4838,226974.0,5,5,3,3,4,1,1,1,BenchmarkParseProtoGzip
230,4594,227236.0,5,5,3,3,5,1,1,1,BenchmarkParseProtoGzip
231,4744,226326.0,5,5,3,3,1,2,1,1,BenchmarkParseProtoGzip
232,4754,230327.0,5,5,3,3,2,2,1,1,BenchmarkParseProtoGzip
233,5041,230363.0,5,5,3,3,3,2,1,1,BenchmarkParseProtoGzip
234,4743,227119.0,5,5,3,3,4,2,1,1,BenchmarkParseProtoGzip
235,4941,229022.0,5,5,3,3,5,2,1,1,BenchmarkParseProtoGzip
236,4798,226293.0,5,5,3,3,1,3,1,1,BenchmarkParseProtoGzip
237,4724,229186.0,5,5,3,3,2,3,1,1,BenchmarkParseProtoGzip
238,4702,229708.0,5,5,3,3,3,3,1,1,BenchmarkParseProtoGzip
239,4684,228778.0,5,5,3,3,4,3,1,1,BenchmarkParseProtoGzip
240,4828,226256.0,5,5,3,3,5,3,1,1,BenchmarkParseProtoGzip
241,5004,227836.0,5,5,3,3,1,4,1,1,BenchmarkParseProtoGzip
242,4945,228335.0,5,5,3,3,2,4,1,1,BenchmarkParseProtoGzip
243,4384,229316.0,5,5,3,3,3,4,1,1,BenchmarkParseProtoGzip
244,4634,232130.0,5,5,3,3,4,4,1,1,BenchmarkParseProtoGzip
245,4990,228518.0,5,5,3,3,5,4,1,1,BenchmarkParseProtoGzip
246,4612,226572.0,5,5,3,3,1,5,1,1,BenchmarkParseProtoGzip
247,4706,228328.0,5,5,3,3,2,5,1,1,BenchmarkParseProtoGzip
248,4658,227456.0,5,5,3,3,3,5,1,1,BenchmarkParseProtoGzip
249,4867,227133.0,5,5,3,3,4,5,1,1,BenchmarkParseProtoGzip
250,4646,228498.0,5,5,3,3,5,5,1,1,BenchmarkParseProtoGzip
251,5077,227449.0,5,5,3,3,1,1,2,1,BenchmarkParseProtoGzip
252,4736,227540.0,5,5,3,3,2,1,2,1,BenchmarkParseProtoGzip
253,5116,227792.0,5,5,3,3,3,1,2,1,BenchmarkParseProtoGzip
254,4776,227206.0,5,5,3,3,4,1,2,1,BenchmarkParseProtoGzip
255,4825,231259.0,5,5,3,3,5,1,2,1,BenchmarkParseProtoGzip
256,4732,227008.0,5,5,3,3,1,2,2,1,BenchmarkParseProtoGzip
257,4581,227468.0,5,5,3,3,2,2,2,1,BenchmarkParseProtoGzip
258,4778,227066.0,5,5,3,3,3,2,2,1,BenchmarkParseProtoGzip
259,4695,227535.0,5,5,3,3,4,2,2,1,BenchmarkParseProtoGzip
260,4518,227514.0,5,5,3,3,5,2,2,1,BenchmarkParseProtoGzip
261,4611,229100.0,5,5,3,3,1,3,2,1,BenchmarkParseProtoGzip
262,4977,225637.0,5,5,3,3,2,3,2,1,BenchmarkParseProtoGzip
263,4485,228551.0,5,5,3,3,3,3,2,1,BenchmarkParseProtoGzip
264,4958,227424.0,5,5,3,3,4,3,2,1,BenchmarkParseProtoGzip
265,4647,227904.0,5,5,3,3,5,3,2,1,BenchmarkParseProtoGzip
266,4788,225968.0,5,5,3,3,1,4,2,1,BenchmarkParseProtoGzip
267,4719,226495.0,5,5,3,3,2,4,2,1,BenchmarkParseProtoGzip
268,4954,230668.0,5,5,3,3,3,4,2,1,BenchmarkParseProtoGzip
269,4702,227814.0,5,5,3,3,4,4,2,1,BenchmarkParseProtoGzip
270,4794,229566.0,5,5,3,3,5,4,2,1,BenchmarkParseProtoGzip
271,4840,226938.0,5,5,3,3,1,5,2,1,BenchmarkParseProtoGzip
272,4755,226291.0,5,5,3,3,2,5,2,1,BenchmarkParseProtoGzip
273,5221,229043.0,5,5,3,3,3,5,2,1,BenchmarkParseProtoGzip
274,4953,229899.0,5,5,3,3,4,5,2,1,BenchmarkParseProtoGzip
275,4603,229298.0,5,5,3,3,5,5,2,1,BenchmarkParseProtoGzip
276,5058,226710.0,5,5,3,3,1,1,3,1,BenchmarkParseProtoGzip
277,4747,227194.0,5,5,3,3,2,1,3,1,BenchmarkParseProtoGzip
278,4566,227424.0,5,5,3,3,3,1,3,1,BenchmarkParseProtoGzip
279,5023,227001.0,5,5,3,3,4,1,3,1,BenchmarkParseProtoGzip
280,5254,227651.0,5,5,3,3,5,1,3,1,BenchmarkParseProtoGzip
281,4594,227605.0,5,5,3,3,1,2,3,1,BenchmarkParseProtoGzip
282,5266,228446.0,5,5,3,3,2,2,3,1,BenchmarkParseProtoGzip
283,4789,228041.0,5,5,3,3,3,2,3,1,BenchmarkParseProtoGzip
284,4710,229092.0,5,5,3,3,4,2,3,1,BenchmarkParseProtoGzip
